ABS_FUNCTION,ABSFNC
ABSORBED_DOSE_MEASURE_WITH_UNIT,ADMWU
ABSORBED_DOSE_UNIT,ABDSUN
ABSTRACTED_EXPRESSION_FUNCTION,ABEXFN
ACCELERATION_MEASURE_WITH_UNIT,AMW0
ACCELERATION_UNIT,ACCUNT
ACOS_FUNCTION,ACSFNC
ACTION,ACTION
ACTION_ASSIGNMENT,ACTASS
ACTION_DIRECTIVE,ACTDRC
ACTION_METHOD,ACTMTH
ACTION_METHOD_ASSIGNMENT,ACMTAS
ACTION_METHOD_RELATIONSHIP,ACMTRL
ACTION_METHOD_ROLE,ACM0
ACTION_METHOD_WITH_ASSOCIATED_DOCUMENTS,AMWAD
ACTION_PROPERTY,ACTPRP
ACTION_PROPERTY_REPRESENTATION,ACPRRP
ACTION_RELATIONSHIP,ACTRLT
ACTION_REQUEST_ASSIGNMENT,ACRQAS
ACTION_REQUEST_SOLUTION,ACRQSL
ACTION_REQUEST_STATUS,ACRQST
ACTION_RESOURCE,ACTRSR
ACTION_RESOURCE_RELATIONSHIP,ACRSRL
ACTION_RESOURCE_REQUIREMENT,ACRSRQ
ACTION_RESOURCE_TYPE,ACRSTY
ACTION_STATUS,ACTSTT
ACTUATED_KINEMATIC_PAIR,ACKNPR
ADDITIVE_MANUFACTURING_ATOM,ADMNAT
ADDITIVE_MANUFACTURING_BUILD_PLATE_RELATIONSHIP,ADMBPR
ADDITIVE_MANUFACTURING_CONSTRUCTION,ADMNCN
ADDITIVE_MANUFACTURING_FEATURE,ADMNFT
ADDITIVE_MANUFACTURING_SETUP,ADMS
ADDITIVE_MANUFACTURING_SETUP_RELATIONSHIP,ADMSRE
ADDITIVE_MANUFACTURING_SETUP_WORKPIECE_RELATIONSHIP,ADMSWR
ADDITIVE_MANUFACTURING_SUPPORT_STRUCTURE_GEOMETRY_RELATIONSHIP,AMSSGR
ADDITIVE_TYPE_OPERATION,ADTYOP
ADDRESS,ADDRSS
ADVANCED_BREP_SHAPE_REPRESENTATION,ABSR
ADVANCED_FACE,ADVFC
AGGREGATE_ID_ATTRIBUTE,AGIDAT
ALL_AROUND_SHAPE_ASPECT,AASA
ALTERNATE_PRODUCT_RELATIONSHIP,ALPRRL
AMOUNT_OF_SUBSTANCE_MEASURE_WITH_UNIT,AOSMWU
